TSI01~DS54~TSI3960~IM~20110316~210004~031611
CARRIER CODE	HOUSE AIRWAY BILL/FREIGHT BILL NUMBER	MASTER AIRWAY BILL	INVOICE NUMBER	INVOICE DATE	SHIPDATE	SHIPPER NAME	SHIPPER COMPANY	SHIPPER ADDRESS	SHIPPER CITY	SHIPPER STATE	SHIPPER POSTAL	SHIPPER COUNTRY CODE	ORIGIN PORT	RECEIVER NAME	RECEIVER COMPANY	RECEIVER ADDRESS	RECEIVER CITY	RECEIVER STATE	RECEIVER POSTAL	RECEIVER COUNTRY CODE	DESTINATION PORT	BOL NUMBER	PO NUMBER	PRODUCT DESCRIPTION	PRODUCT CODE	PIECES	LENGTH	WIDTH	HEIGHT	DIM VOLUME	DIM UOM	ACTUAL WEIGHT	CHARGEABLE WEIGHT	WEIGHT UOM	SERVICE LEVEL	POD DATE	POD TIME	POD NAME	CARRIER ACCOUNT NUMBER	ZONE	CURRENCY CODE	BILLED AMOUNT	FREIGHT CHARGE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	TAX TYPE	TAX AMOUNT	TAXABLE BASE AMOUNT	IVA_CODE	TAX TYPE	TAX AMOUNT	TAXABLE BASE AMOUNT	IVA_CODE	TAX TYPE	TAX AMOUNT	TAXABLE BASE AMOUNT	IVA_CODE	TAX TYPE	TAX AMOUNT	TAXABLE BASE AMOUNT	IVA_CODE	PACKAGING CODE	DEPARTMENT NUMBER	PACKAGE CUBE DETAIL	PAYMENT TERMS	Image Name	EQUIPMENT TYPE	EQUIPMENT NUMBER	EQUIPMENT TYPE	EQUIPMENT NUMBER	EQUIPMENT TYPE	EQUIPMENT NUMBER	EQUIPMENT TYPE	EQUIPMENT NUMBER	EQUIPMENT TYPE	EQUIPMENT NUMBER	EQUIPMENT TYPE	EQUIPMENT NUMBER	EQUIPMENT TYPE	EQUIPMENT NUMBER	EQUIPMENT TYPE	EQUIPMENT NUMBER	EQUIPMENT TYPE	EQUIPMENT NUMBER	EQUIPMENT TYPE	EQUIPMENT NUMBER	EQUIPMENT TYPE	EQUIPMENT NUMBER	BILLED QTY	BILLED UOM	SHIPPER NAME2	SHIPPER COMPANY2	ADDRESS2	CITY2	STATE2	POSTAL2	COUNTRY2	PORT2	SHIPPER NAME3	SHIPPER COMPANY3	SHIPPER ADDRESS3	CITY3	STATE3	POSTAL3	COUNTRY3	PORT3	RECEIVER NAME2	RECEIVER COMAPANY2	ADDRESS2	CITY2	STATE2	POSTAL2	COUNTRY2	RECEIVER NAME3	RECEIVER COMPANY3	RECEIVER ADDRESS3	CITY3	STATE3	POSTAL3	COUNTRY3	UDF1	UDF2	UDF3	UDF4	UDF5	UDF6	UDF7	UDF8	UDF9	UDF10	UDF11	UDF12	UDF13	UDF14	UDF15	UDF16	UDF17	UDF18	UDF19	UDF20	MODE	VAT registration #	Bill To Name	Bill To Address1	Bill To Address2	Bill To City	Bill To State	Bill To Postal	Bill To Country
DS54	SIN0437771	61868968631	SG00634194	22Jul24	21Jul24	TERADYNE  ASIA  PTE LTD	TERADYNE  ASIA  PTE LTD	51 SCIENCE PARK ROAD  02-01 THE ARIES  SCIENCE PARK 2 SINGAPORE 117586	SINGAPORE	NS	117586	SG	SIN	CAL-COMP ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED	CAL-COMP ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED		KLONGTOEY,BANGKOK		10110	TH	BKK	062750		BOARD		2				0.067	M3	8.2	11.5	KG	STD	21Jul24		BANGKOK	6407589800		USD	56.53	26.50	2.53	THC	25.00	DOC	2.50	EPS																																																						PREPAID																																																																														TERADYNE (ASIA) PTE LTD	51 SCIENCE PARK ROAD,	THE ARIES 02-01	SINGAPORE	NS	117586	SG
DS54	SIN0437762	61868968631	SG00634195	22Jul24	21Jul24	TERADYNE  ASIA  PTE LTD	TERADYNE  ASIA  PTE LTD	51 SCIENCE PARK ROAD  02-01 THE ARIES  SCIENCE PARK 2 SINGAPORE 117586	SINGAPORE	NS	117586	SG	SIN	UTAC THAI LIMITED	UTAC THAI LIMITED		CHACHOENGSAO		24180	TH	BKK	062750		BOARD		6				0.225	M3	29.6	37.5	KG	STD	21Jul24		BANGKOK	6407589800		USD	101.38	65.63	8.25	THC	25.00	DOC	2.50	EPS																																																						PREPAID																																																																														TERADYNE (ASIA) PTE LTD	51 SCIENCE PARK ROAD,	THE ARIES 02-01	SINGAPORE	NS	117586	SG
DS54	SIN0437764	61868968631	SG00634196	22Jul24	21Jul24	TERADYNE  ASIA  PTE LTD	TERADYNE  ASIA  PTE LTD	51 SCIENCE PARK ROAD  02-01 THE ARIES  SCIENCE PARK 2 SINGAPORE 117586	SINGAPORE	NS	117586	SG	SIN	SAM PRECISION (THAILAND) LIMITED	SAM PRECISION (THAILAND) LIMITED		AYUTTHAYA		13210	TH	BKK	062750		CONTROLLER		1				0.01	M3	1.2	2	KG	STD	21Jul24		BANGKOK	6407589800		USD	54.44	26.50	0.44	THC	25.00	DOC	2.50	EPS																																																						PREPAID																																																																														TERADYNE (ASIA) PTE LTD	51 SCIENCE PARK ROAD,	THE ARIES 02-01	SINGAPORE	NS	117586	SG
DS54	SIN0437759	61868968631	SG00634197	22Jul24	21Jul24	TERADYNE  ASIA  PTE LTD	TERADYNE  ASIA  PTE LTD	51 SCIENCE PARK ROAD  02-01 THE ARIES  SCIENCE PARK 2 SINGAPORE 117586	SINGAPORE	NS	117586	SG	SIN	INFINEON TECHNOLOGIES (THAILAND) LIMITED	INFINEON TECHNOLOGIES (THAILAND) LIMITED		NONTHABURI		11120	TH	BKK	062750		BOARD		3				0.181	M3	20.2	30.5	KG	STD	21Jul24		BANGKOK	6407589800		USD	87.59	53.38	6.71	THC	25.00	DOC	2.50	EPS																																																						PREPAID																																																																														TERADYNE (ASIA) PTE LTD	51 SCIENCE PARK ROAD,	THE ARIES 02-01	SINGAPORE	NS	117586	SG
DS54	SIN0437757	61868968642	SG00634690	23Jul24	23Jul24	TERADYNE  ASIA  PTE LTD	TERADYNE  ASIA  PTE LTD	51 SCIENCE PARK ROAD  02-01 THE ARIES  SCIENCE PARK 2 SINGAPORE 117586	SINGAPORE	NS	117586	SG	SIN	UTAC THAI LIMITED	UTAC THAI LIMITED		CHACHOENGSAO		24180	TH	BKK	062750		SPARE PART FOR TEST MACHINE		3				0.024	M3	6.1	6.5	KG	STD	23Jul24		BANGKOK	6407589800		USD	55.43	26.50	1.43	THC	25.00	DOC	2.50	EPS																																																						PREPAID																																																																														TERADYNE (ASIA) PTE LTD	51 SCIENCE PARK ROAD,	THE ARIES 02-01	SINGAPORE	NS	117586	SG
DS54	SIN0437758	61868968642	SG00634693	23Jul24	23Jul24	TERADYNE  ASIA  PTE LTD	TERADYNE  ASIA  PTE LTD	51 SCIENCE PARK ROAD  02-01 THE ARIES  SCIENCE PARK 2 SINGAPORE 117586	SINGAPORE	NS	117586	SG	SIN	CAL-COMP ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED	CAL-COMP ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED		KLONGTOEY,BANGKOK		10110	TH	BKK	062750		DRIVER BOARD		3				0.1	M3	12	17	KG	STD	23Jul24		BANGKOK	6407589800		USD	60.99	29.75	3.74	THC	25.00	DOC	2.50	EPS																																																						PREPAID																																																																														TERADYNE (ASIA) PTE LTD	51 SCIENCE PARK ROAD,	THE ARIES 02-01	SINGAPORE	NS	117586	SG
DS54	SIN0437755	93388612344	SG00635683	24Jul24	24Jul24	TERADYNE  ASIA  PTE LTD	TERADYNE  ASIA  PTE LTD	51 SCIENCE PARK ROAD  02-01 THE ARIES  SCIENCE PARK 2 SINGAPORE 117586	SINGAPORE	NS	117586	SG	SIN	INFINEON TECHNOLOGIES (THAILAND) LIMITED	INFINEON TECHNOLOGIES (THAILAND) LIMITED		NONTHABURI		11120	TH	BKK	062750		BOARD CONVERTER TEST OPTION		2				0.027	M3	3.8	4.5	KG	STD	24Jul24		BANGKOK	6407589800		USD	54.99	26.50	0.99	THC	25.00	DOC	2.50	EPS																																																						PREPAID																																																																														TERADYNE (ASIA) PTE LTD	51 SCIENCE PARK ROAD,	THE ARIES 02-01	SINGAPORE	NS	117586	SG
DS54	SIN0437751	61868968653	SG00635943	25Jul24	25Jul24	TERADYNE  ASIA  PTE LTD	TERADYNE  ASIA  PTE LTD	51 SCIENCE PARK ROAD  02-01 THE ARIES  SCIENCE PARK 2 SINGAPORE 117586	SINGAPORE	NS	117586	SG	SIN	CAL-COMP ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED	CAL-COMP ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED		KLONGTOEY,BANGKOK		10110	TH	BKK	062750		DRIVER BOARD SYSTEM CONTROLLER		1				0.034	M3	3.4	6	KG	STD	25Jul24		BANGKOK	6407589800		USD	55.32	26.50	1.32	THC	25.00	DOC	2.50	EPS																																																						PREPAID																																																																														TERADYNE (ASIA) PTE LTD	51 SCIENCE PARK ROAD,	THE ARIES 02-01	SINGAPORE	NS	117586	SG
DS54	SIN0437752	61868968653	SG00635947	25Jul24	25Jul24	TERADYNE  ASIA  PTE LTD	TERADYNE  ASIA  PTE LTD	51 SCIENCE PARK ROAD  02-01 THE ARIES  SCIENCE PARK 2 SINGAPORE 117586	SINGAPORE	NS	117586	SG	SIN	BENCHMARK ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED	BENCHMARK ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED		AYUDHAYA		13160	TH	BKK	062750		BOARD ICA BOARD ASM WITH HV		1				0.034	M3	4.1	6	KG	STD	25Jul24		BANGKOK	6407589800		USD	55.32	26.50	1.32	THC	25.00	DOC	2.50	EPS																																																						PREPAID																																																																														TERADYNE (ASIA) PTE LTD	51 SCIENCE PARK ROAD,	THE ARIES 02-01	SINGAPORE	NS	117586	SG
DS54	SIN0437753	61868968653	SG00635948	25Jul24	25Jul24	TERADYNE  ASIA  PTE LTD	TERADYNE  ASIA  PTE LTD	51 SCIENCE PARK ROAD  02-01 THE ARIES  SCIENCE PARK 2 SINGAPORE 117586	SINGAPORE	NS	117586	SG	SIN	HANA SEMICONDUCTOR (AYUTTHAYA) CO., LTD.	HANA SEMICONDUCTOR (AYUTTHAYA) CO., LTD.		AYUTTHYA		13160	TH	BKK	062750		BOARD		1				0.014	M3	1.8	2.5	KG	STD	25Jul24		BANGKOK	6407589800		USD	54.55	26.50	0.55	THC	25.00	DOC	2.50	EPS																																																						PREPAID																																																																														TERADYNE (ASIA) PTE LTD	51 SCIENCE PARK ROAD,	THE ARIES 02-01	SINGAPORE	NS	117586	SG
