TSI01~OS08OUT~TSI5810~IM~20091222~210004~75604																																																											
File	Reshimon No.	Exporter ID	Exporter Name	Invoice date	Invoice nr.	Credit letter nr.	Exporter Invoices	Exporter Ref.	Importer	ADRESS	CITY	POSTAL CODE	SL	Incoterms	Open Date	Flight Date	POD	Arrival Date	Destination	Destination Country	MAWB	HAWB	Exporter Ref.	Origin Port/Airport Code	Bill to Account Name	Bill to Address St	Bill to Address City	Bill to Address Postal Code	Bill to Address Country	Bill to Account Number	Currency value of goods	 Value of Goods	PCS	GW	CW	Currency	FREIGHT CHARGES	FUEL SURCHARGE	PICK UP	EXPORT DECLARATION FEE	CUSTOMS CLEARANCE	DELIVERY	Terminal handling	SWISSPORT	Swissport Working Order	TERMINAL FEE	Working Order Maman	DUTIES	STORAGE	Forklift	INSURANCE	WAITING AT DESTINATION	X- Ray Fee	Miscellaneous NO VAT	COVID-19 ADDER	Total invoice excl. vat NIS	Total VAT NIS	Total invoice incl. VAT NIS	Total invoice incl. vat USD
4582239	024043223409941	10166365	Applied Materials South East 	04/15/2024	S74241371		702552177	834553	APPLIED MATERIALS INC	1700 E Pescadero Ave, Suite B TRACY	TRACY	95304	SL1	DAP	03/31/2024	04/01/2024	04/05/2024	04/04/2024	SFO	US	057-05572431	ORI-06880123	834553	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	30941.98	1	106.00	171	NIS	3699.41	316.30	111.90	93.25		205.15	76.54													4502.55	34.87	4537.42	1214.52
4582240	024043223345517	10166365	Applied Materials South East 	04/15/2024	S74241371		702552088	834554	JENOPTIK OPTICAL SYSTEMS GMBH	GOESCHWITZER STRASSE 25	THURINGIA	7745	SL3	DAP	03/31/2024	04/02/2024	04/05/2024	04/02/2024	FRA	DE	020-23239650	ORI-06880134	834554	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	EUR	27830.51	1	83.00	144.5	NIS	862.38	247.67	111.90	93.25		36.22	32.34													1383.76	34.87	1418.63	378.66
4582246	024043223400460	10166365	Applied Materials South East 	04/15/2024	S74241371		702552217	834553	APPLIED MATERIALS INC	9700 US HWY 290 EAST	AUSTIN	78724	SL1	DAP	03/31/2024	04/01/2024	04/09/2024	04/04/2024	AUS	US	057-05574144	ORI-06880193	834553	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	64160.23	1	343.00	343	NIS	7804.28	1023.51	191.91	93.25		204.70	102.35	154.12												9574.12	74.67	9648.79	2585.36
4582365	024043224175236	10166365	Applied Materials South East 	04/15/2024	S74241371		702552076	834554	VDL ETG ALMELO BV	BORNSESTRAAT 345	Overijssel	7601 PB	SL3	DAP	04/01/2024	04/04/2024	04/09/2024	04/06/2024	AMS	NL	057-05591493	ORI-06881372	834554	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	2692.62	1	141.00	231	NIS	1895.59	420.74	129.24	93.25		111.90	112.01													2762.73	37.82	2800.55	748.70
4582622	024043225929839	10166365	Applied Materials South East 	04/15/2024	S74241371		702554817	834553	Applied Materials Korea Ltd.	114, Dangha-ro,Namsa-eup,	Gyeonggi-do	17118	SL3	DAP	04/02/2024	04/04/2024	04/06/2024	04/06/2024	ICN	KR	020-23239716	ORI-06883936	834553	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	24261.20	1	348.00	348	NIS	4685.92	1038.43	194.71	93.25		298.40	116.82													6427.53	48.95	6476.48	1733.59
4582623	024043226141129	10166365	Applied Materials South East 	04/15/2024	S74241371		702554916,702554953,702554966	834553	APPLIED MATERIALS EUROPE BV	An der Gehespitz 70	Hessen	63263	SL3	DAP	04/02/2024	04/04/2024	04/05/2024	04/04/2024	FRA	DE	020-23239694	ORI-06883940	834553	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	21120.80	3	190.00	298.5	NIS	1781.45	566.96	167.01	93.25		44.54	66.80													2720.01	44.24	2764.25	738.96
4582624	024043225927973	10166365	Applied Materials South East 	04/15/2024	S74241371		702554912	834554	ICT Integrated Circuit Testing GmbH	AMMERTHALSTRASSE 20	Bavaria	85551	SL3	DAP	04/02/2024	04/04/2024	04/10/2024	04/04/2024	MUC	DE	020-23239694	ORI-06883951	834554	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	13794.24	1	62.00	84.5	NIS	529.51	185.01	111.90	93.25		60.35	18.91													998.93	34.87	1033.80	275.21
4582633	024043226123119	10166365	Applied Materials South East 	04/15/2024	S74241371		702554929	834553	APPLIED MATERIALS EUROPE BV	An der Gehespitz 70	Hessen	63263	SL1	DAP	04/02/2024	04/03/2024	04/08/2024	04/03/2024	FRA	DE	020-23239720	ORI-06884021	834553	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	30941.98	1	106.00	171	NIS	2519.43	316.30	111.90	93.25		36.22	38.27													3115.37	34.87	3150.24	842.62
4582654	024043226226953	10166365	Applied Materials South East 	04/15/2024	S74241371		702555216	834553	Applied Materials Korea Ltd.	114, Dangha-ro,Namsa-eup,	Gyeonggi-do	17118	SL1	DAP	04/02/2024	04/03/2024	04/06/2024	04/06/2024	ICN	KR	217-98809944	ORI-06884220	834553	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	38295.36	1	115.00	171	NIS	4050.22	343.16	111.90	93.25		298.40	57.40													4954.33	34.87	4989.20	1335.64
4582887	024043227949355	10166365	Applied Materials South East 	04/15/2024	S74241371		702557124	834553	Applied Materials Korea Ltd.	114, Dangha-ro,Namsa-eup,	Gyeonggi-do	17118	SL3	DAP	04/03/2024	04/04/2024	04/06/2024	04/06/2024	ICN	KR	020-23239716	ORI-06886552	834553	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	24261.20	1	346.00	346	NIS	4658.99	1032.46	193.59	93.25		298.40	116.15													6392.84	48.76	6441.60	1724.25
