TSI01~PNSK~TSI5092~IM~20090316~210004~75604																																																													
CLIENT CODE	INVOICE NUMBER	TAPE	INVOICE DATE	SHIPDATE	ORIGIN PORT	DESTINATION PORT	HOUSE AIRWAY BILL/FREIGHT BILL NUMBER	MASTER AIRWAY BILL	SHIPPER NAME	SHIPPER COMPANY	SHIPPER ADDRESS	SHIPPER CITY	SHIPPER STATE	SHIPPER POSTAL	SHIPPER COUNTRY CODE	RECEIVER NAME	RECEIVER COMPANY	RECEIVER ADDRESS	RECEIVER CITY	RECEIVER STATE	RECEIVER POSTAL	RECEIVER COUNTRY	REFERENCE 1	REFERENCE 2	BLANK	PIECES	DIM WEIGHT	WEIGHT	 BILLED AMOUNT 	SERVICE LEVEL	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	ACCESSORIAL CHARGE	ACCESSORIAL TYPE	 FREIGHT CHARGE 	 CURRENCY CODE 	 POD DATE 	 POD TIME 	 POD NAME 	BOL NUMBER	INVOICE NUMBER	CARRIER ACCOUNT NUMBER	ZONE	WEIGHT UOM	CARRIER CODE
TSI5092	FM00104535		05/04/2024	04/29/2024			FM00104535-1		PORSCHE	ATLANTA PORSCHE LOGISTICS	4091 SOUTHMEADOW PARKWAY WEST	ATLANTA	GA	30349	US	PARTS MGR	PORSCHE MINNEAPOLIS	9595 WAYZATA BLVD	MINNEAPOLIS	MN	55426	US	Multiple			7		70	337.57	TL	25.15	FUE	25.15	DDO 	25.15	OCT	25.15	OFO 													312.42	USD	04/30/2024		UNKNOWN		FM00104535			LB	PNSK
TSI5092	FM00104535		05/04/2024	04/30/2024			FM00104535-2		PORSCHE	ATLANTA PORSCHE LOGISTICS	4091 SOUTHMEADOW PARKWAY WEST	ATLANTA	GA	30349	US	PARTS MGR	PORSCHE MINNEAPOLIS	9595 WAYZATA BLVD	MINNEAPOLIS	MN	55426	US	Multiple			1		10	337.57	TL	25.15	FUE	25.15	DDO 	25.15	OCT	25.15	OFO 													312.42	USD	05/01/2024		UNKNOWN		FM00104535			LB	PNSK
TSI5092	FM00104535		05/04/2024	05/01/2024			FM00104535-3		PORSCHE	ATLANTA PORSCHE LOGISTICS	4091 SOUTHMEADOW PARKWAY WEST	ATLANTA	GA	30349	US	PARTS MGR	PORSCHE MINNEAPOLIS	9595 WAYZATA BLVD	MINNEAPOLIS	MN	55426	US	Multiple			5		50	337.57	TL	25.15	FUE	25.15	DDO 	25.15	OCT	25.15	OFO 													312.42	USD	05/02/2024		UNKNOWN		FM00104535			LB	PNSK
TSI5092	FM00104535		05/04/2024	05/02/2024			FM00104535-4		PORSCHE	ATLANTA PORSCHE LOGISTICS	4091 SOUTHMEADOW PARKWAY WEST	ATLANTA	GA	30349	US	PARTS MGR	PORSCHE MINNEAPOLIS	9595 WAYZATA BLVD	MINNEAPOLIS	MN	55426	US	Multiple			10		100	337.57	TL	25.15	FUE	25.15	DDO 	25.15	OCT	25.15	OFO 													312.42	USD	05/03/2024		UNKNOWN		FM00104535			LB	PNSK
TSI5092	FM00104535		05/04/2024	05/03/2024			FM00104535-5		PORSCHE	ATLANTA PORSCHE LOGISTICS	4091 SOUTHMEADOW PARKWAY WEST	ATLANTA	GA	30349	US	PARTS MGR	PORSCHE MINNEAPOLIS	9595 WAYZATA BLVD	MINNEAPOLIS	MN	55426	US	Multiple			10		100	337.57	TL	25.15	FUE	25.15	DDO 	25.15	OCT	25.15	OFO 													312.42	USD	05/04/2024		UNKNOWN		FM00104535			LB	PNSK
TSI5092	FM00104535		05/04/2024	04/29/2024			FM00104535-6		PORSCHE	ATLANTA PORSCHE LOGISTICS	4091 SOUTHMEADOW PARKWAY WEST	ATLANTA	GA	30349	US	PARTS MGR	INTERNATIONAL AUTOS	2230 E MORELAND BLVD	WAUKESHA	WI	53186	US	Multiple			1		10	336.07	TL	25.04	FUE	25.04	DDO 	25.04	OCT	25.04	OFO 													311.03	USD	04/30/2024		UNKNOWN		FM00104535			LB	PNSK
TSI5092	FM00104535		05/04/2024	04/30/2024			FM00104535-7		PORSCHE	ATLANTA PORSCHE LOGISTICS	4091 SOUTHMEADOW PARKWAY WEST	ATLANTA	GA	30349	US	PARTS MGR	INTERNATIONAL AUTOS	2230 E MORELAND BLVD	WAUKESHA	WI	53186	US	Multiple			11		110	336.07	TL	25.04	FUE	25.04	DDO 	25.04	OCT	25.04	OFO 													311.03	USD	05/01/2024		UNKNOWN		FM00104535			LB	PNSK
TSI5092	FM00104535		05/04/2024	05/01/2024			FM00104535-8		PORSCHE	ATLANTA PORSCHE LOGISTICS	4091 SOUTHMEADOW PARKWAY WEST	ATLANTA	GA	30349	US	PARTS MGR	INTERNATIONAL AUTOS	2230 E MORELAND BLVD	WAUKESHA	WI	53186	US	Multiple			6		60	336.07	TL	25.04	FUE	25.04	DDO 	25.04	OCT	25.04	OFO 													311.03	USD	05/02/2024		UNKNOWN		FM00104535			LB	PNSK
TSI5092	FM00104535		05/04/2024	05/02/2024			FM00104535-9		PORSCHE	ATLANTA PORSCHE LOGISTICS	4091 SOUTHMEADOW PARKWAY WEST	ATLANTA	GA	30349	US	PARTS MGR	INTERNATIONAL AUTOS	2230 E MORELAND BLVD	WAUKESHA	WI	53186	US	Multiple			3		30	336.07	TL	25.04	FUE	25.04	DDO 	25.04	OCT	25.04	OFO 													311.03	USD	05/03/2024		UNKNOWN		FM00104535			LB	PNSK
TSI5092	FM00104535		05/04/2024	05/03/2024			FM00104535-10		PORSCHE	ATLANTA PORSCHE LOGISTICS	4091 SOUTHMEADOW PARKWAY WEST	ATLANTA	GA	30349	US	PARTS MGR	INTERNATIONAL AUTOS	2230 E MORELAND BLVD	WAUKESHA	WI	53186	US	Multiple			7		70	336.07	TL	25.04	FUE	25.04	DDO 	25.04	OCT	25.04	OFO 													311.03	USD	05/04/2024		UNKNOWN		FM00104535			LB	PNSK
